,IVV
2015-08-26,171.853077641
2015-08-27,176.0773892899
2015-08-28,176.0686069372
2015-08-31,174.54925992
2015-09-01,169.2622835944
2015-09-02,172.6083599732
2015-09-03,172.7576599691
2015-09-04,170.0790423955
2015-09-08,174.4790010984
2015-09-09,172.0550717531
2015-09-10,172.9772187867
2015-09-11,173.8203246459
2015-09-14,173.144083488
2015-09-15,175.313324605
2015-09-16,176.8853657383
2015-09-17,176.4374657506
2015-09-18,173.495377596
2015-09-21,174.4087422768
2015-09-22,172.2131541017
2015-09-23,171.9233364626
2015-09-24,171.3085717736
2015-09-25,171.1957721137
2015-09-28,166.9213974063
2015-09-29,166.9478914644
2015-09-30,170.1978292585
2015-10-01,170.657059599
2015-10-02,173.1563324134
2015-10-05,176.2914626224
2015-10-06,175.6291111698
2015-10-07,177.0774530128
2015-10-08,178.7024219098
2015-10-09,178.8348922003
2015-10-12,178.9938565489
2015-10-13,177.8369493451
2015-10-14,176.9449827222
2015-10-15,179.6562080015
2015-10-16,180.4510297446
2015-10-19,180.5923313879
2015-10-20,180.3273908068
2015-10-21,179.2764598354
2015-10-22,182.2261316376
2015-10-23,184.2750054643
2015-10-26,183.8511005346
2015-10-27,183.4978464266
2015-10-28,185.555551606
2015-10-29,185.4584067263
2015-10-30,184.6194282196
2015-11-02,186.8714231585
2015-11-03,187.3394848516
2015-11-04,186.853760453
2015-11-05,186.6241452828
2015-11-06,186.5534944612
2015-11-09,184.7607298629
2015-11-10,185.2111288506
2015-11-11,184.4957892818
2015-11-12,181.8993715876
2015-11-13,179.8681604664
2015-11-16,182.6500365673
2015-11-17,182.4115900443
2015-11-18,185.3435991411
2015-11-19,185.1669720871
2015-11-20,186.0059505937
2015-11-23,185.6526964857
2015-11-24,185.9176370667
2015-11-25,185.9264684194
2015-11-27,186.085432768
2015-11-30,185.3435991411
2015-12-01,187.1628577976
2015-12-02,185.228791556
2015-12-03,182.597048451
2015-12-04,186.1649149424
2015-12-07,185.0168390912
2015-12-08,183.8069437711
2015-12-09,182.3586019281
2015-12-10,182.8178322686
2015-12-11,179.1793149557
2015-12-14,180.3185594541
