,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2018-04-13,43.9121396912,56.1606745167,25.0157051589,41.6141423005,69.3036506208,164.0523552437,54.5482115226,32.8318092127,110.3688394567,92.171695673,66.4838879163
2018-04-16,44.3200374833,56.8975740233,25.0883724215,41.9136822995,70.0071681017,165.329800474,54.8045033074,33.1503205096,111.1421946881,93.5704972058,66.8053680996
2018-04-17,45.0969856588,57.4558312253,25.4880423659,42.8049964429,70.7537580815,166.6545584906,54.9489586771,33.3095761581,111.4552194246,94.6429117144,67.6715785937
2018-04-18,45.3956251137,57.2101980564,25.4607921424,42.6345265248,71.2945572335,166.8721973076,54.8184828593,33.8711618659,110.5990047041,95.4169152292,67.5554885274
2018-04-19,45.2863667765,57.1610714226,25.3427078407,42.1158109167,70.9978355748,165.4055009321,55.2238898645,33.9046893708,107.3951044596,94.5310075917,66.5910479774
2018-04-20,44.8274817604,56.7189317187,25.2609571702,41.4534135206,70.6006114189,164.5727958931,55.1726315075,33.7119062174,105.6090221394,93.9714869786,66.0195276515
2018-04-23,44.8808969475,56.8529134471,25.2427903546,41.2805083179,70.4953230885,165.1689370005,55.1446724037,33.913071247,105.6918816285,93.4585930832,66.0641776769
2018-04-24,44.2374867397,57.2235962292,25.2882073937,40.4768644181,68.6623489715,163.7211657395,54.8511018138,33.5358868165,104.8540801278,91.1459078822,66.2249177686
2018-04-25,44.4292958205,57.2369944021,25.2972908015,40.4598174263,68.7102073035,164.3456945188,54.771884353,33.8376343609,104.6791545397,91.6588017776,66.0820376871
2018-04-26,44.9780154694,57.8443782378,25.1428728685,41.3048611634,68.6767064711,166.4274571163,55.0607950923,34.3321650588,105.5721956998,92.442130636,66.8857381455
2018-04-27,45.1212652892,58.4160336126,25.3427078407,41.1636146598,68.5235598086,167.3737128425,55.2238898645,33.9382168757,105.9772865354,91.9572127713,67.7519486395
2018-04-30,45.0241467673,58.2463234232,24.8794540414,40.9152156362,67.7434689964,164.6011835648,54.8371222619,33.946598752,105.019799106,90.8101955143,67.5465585224
2018-05-01,45.0994136218,58.0810792914,24.6614522536,41.4607193742,67.6142514999,164.7336593665,54.9908973328,33.7202880936,104.3753364131,90.4558324593,68.0198487923
2018-05-02,44.7546428689,58.0408847729,24.5070343205,41.4728957969,67.1021673471,162.4247953947,54.5668509251,33.8795437421,103.0587911977,90.6609900175,67.7876686599
2018-05-03,44.5118465641,58.0453508305,24.4979509127,41.558130756,67.3318873409,161.421764325,54.249981082,33.7621974748,102.8194193404,90.7915448272,67.8144586751
2018-05-04,45.1334051045,58.3758390941,24.6614522536,42.3958686394,68.1119781531,162.7370597843,54.9256594239,33.9885081332,104.3108901438,92.1623703294,68.5288590826
2018-05-07,45.1746804763,58.0408847729,24.8067867788,42.783078882,68.6288481391,162.6613593262,55.2611686696,34.0723268955,104.2648570943,92.2276477343,68.9039192965
2018-05-08,45.0192908412,56.6876693154,24.743202924,42.9389370929,69.0930739598,161.4028392104,55.4988210519,34.3908381924,103.7216671104,91.9945141455,68.5645791029
2018-05-09,45.1188373262,56.3214525909,24.6432854379,43.5282759527,69.8061631072,162.5951214254,56.1465402901,35.0697701675,104.1267579459,93.2534355251,68.9842893423
2018-05-10,45.262087146,57.0538860398,24.8885374493,44.0810855444,70.2799605943,164.6863465802,56.5519472952,35.3212264545,104.9737660565,94.0833911012,69.6183197039
2018-05-11,45.3737734463,57.1834017107,24.9702881197,43.9374037562,70.4283214236,167.1371489109,56.542627594,35.3296083308,104.7712206387,93.962161635,69.3325595409
2018-05-14,45.4927436356,56.9556327723,24.8612872258,43.9325331871,70.3038897603,168.2348055533,56.4074919256,35.5978283703,104.5318487814,94.2605726287,68.8235492506
2018-05-15,45.2378075156,56.517959126,24.7613697397,43.4673938391,70.0454547673,166.0868050549,56.1931387964,35.5978283703,104.025485237,94.1020417883,67.80552867
2018-05-16,45.6457053077,56.0847515372,24.797703371,43.7060517245,70.2751747611,167.0614484528,56.2257577508,35.7738477712,104.8632867377,95.3423124808,67.609068558
2018-05-17,45.4854597465,55.6202815452,24.6432854379,43.4698291236,70.5431814205,167.1560740255,56.1372205888,36.3270516027,105.4064767217,95.7060008794,67.2607983594
2018-05-18,45.3567777049,55.6202815452,24.5978683988,43.2482182301,70.9404055764,167.7427525757,55.8063711938,36.0420678107,105.0566255456,95.6313981309,67.412608446
2018-05-21,45.5777223423,55.9195074055,24.8794540414,43.5940286354,71.8305705523,167.6008142168,56.2443971534,36.4024884888,105.5261626504,96.0790146215,68.1359388585
2018-05-22,45.3422099266,56.1472763439,24.8612872258,43.5234053836,70.9834780752,167.3453251707,56.491369237,35.9163396672,105.194724694,95.2677097324,68.2252389094
2018-05-23,45.563154564,56.6966014306,24.8249535945,43.8789569271,70.9834780752,167.827915591,56.3748729711,35.8911940385,105.6550551889,94.8200932419,68.8056892404
2018-05-24,45.6651290121,57.1119447888,24.7704531475,43.8546040817,71.237127235,167.3264000562,56.0673228293,35.2876989496,105.6366419691,94.4750555304,68.6360191437
